frequency,Tmag,Tphase
1,48.6554026,-0.0329940899
1.12201845,48.6554022,-0.0370199767
1.25892541,48.6554018,-0.0415370956
1.41253754,48.6554012,-0.0466053856
1.58489319,48.6554004,-0.0522920998
1.77827941,48.6553995,-0.0586726967
1.99526231,48.6553983,-0.0658318425
2.23872114,48.6553968,-0.0738645338
2.51188643,48.655395,-0.0828773582
2.81838293,48.6553926,-0.0929899085
3.16227766,48.6553897,-0.10433637
3.54813389,48.6553859,-0.117067299
3.98107171,48.6553812,-0.131351622
4.46683592,48.6553753,-0.147378877
5.01187234,48.6553679,-0.165361726
5.62341325,48.6553585,-0.185538775
6.30957344,48.6553467,-0.208177741
7.07945784,48.6553319,-0.233579001
7.94328235,48.6553132,-0.262079574
8.91250938,48.6552897,-0.294057588
10,48.6552601,-0.329937291
11.2201845,48.6552228,-0.37019467
12.5892541,48.6551759,-0.415363756
14.1253754,48.6551168,-0.466043686
15.8489319,48.6550425,-0.522906632
17.7827941,48.6549488,-0.586706676
19.9526231,48.654831,-0.658289764
22.3872114,48.6546826,-0.738604853
25.1188643,48.6544958,-0.828716397
28.1838293,48.6542607,-0.929818312
31.6227766,48.6539647,-1.04324961
35.4813389,48.6535921,-1.17051184
39.8107171,48.653123,-1.31328861
44.6683592,48.6525326,-1.47346729
50.1187234,48.6517894,-1.6531632
56.2341325,48.6508539,-1.85474645
63.0957344,48.6496766,-2.0808717
70.7945784,48.6481948,-2.33451093
79.4328235,48.6463301,-2.61898946
89.1250938,48.6439837,-2.93802528
100,48.6410316,-3.29577158
112.201845,48.637318,-3.69686232
125.892541,48.6326473,-4.14646036
141.253754,48.6267743,-4.65030712
158.489319,48.619392,-5.21477244
177.827941,48.6101161,-5.84690227
199.526231,48.5984664,-6.55446089
223.872114,48.5838447,-7.34596265
251.188643,48.5655067,-8.23068633
281.838293,48.5425301,-9.21866275
316.227766,48.5137761,-10.3206227
354.813389,48.4778456,-11.5478884
398.107171,48.4330304,-12.9121887
446.683592,48.3772611,-14.4253706
501.187234,48.3080549,-16.098983
562.341325,48.2224688,-17.9437015
630.957344,48.1170666,-19.9685756
707.945784,47.98791,-22.180091
794.328235,47.8305896,-24.5810708
891.250938,47.6403092,-27.1694804
1000,47.412038,-29.9372601
1122.01845,47.1407367,-32.8693667
1258.92541,46.8216523,-35.9432476
1412.53754,46.450658,-39.1289732
1584.89319,46.0245965,-42.3901825
1778.27941,45.5415728,-45.6858618
1995.26231,45.0011429,-48.9727927
2238.72114,44.4043588,-52.2083355
2511.88643,43.753662,-55.3531235
2818.38293,43.0526462,-58.373269
3162.27766,42.3057369,-61.2418103
3548.13389,41.5178435,-63.9393131
3981.07171,40.694034,-66.4537088
4466.83592,39.8392663,-68.7795644
5011.87234,38.9581924,-70.9170125
5623.41325,38.055036,-72.8705574
6309.57344,37.1335308,-74.6479027
7079.45784,36.1969082,-76.2589111
7943.28235,35.247918,-77.7147596
8912.50938,34.2888678,-79.0272458
10000,33.3216725,-80.2082867
11220.1845,32.3479078,-81.2695628
12589.2541,31.3688604,-82.2222613
14125.3754,30.3855755,-83.0769441
15848.9319,29.3988982,-83.8434723
17782.7941,28.4095094,-84.5309414
19952.6231,27.4179558,-85.1477142
22387.2114,26.4246757,-85.7014322
25118.8643,25.4300196,-86.19906
28183.8293,24.4342673,-86.6469217
31622.7766,23.4376423,-87.0507637
35481.3389,22.4403222,-87.4158098
39810.7171,21.4424487,-87.7468027
44668.3592,20.4441343,-88.0480685
50118.7234,19.4454682,-88.3235534
56234.1325,18.4465213,-88.5768768
63095.7344,17.4473493,-88.8113769
70794.5784,16.4479963,-89.0301476
79432.8235,15.4484967,-89.2360785
89125.0938,14.448877,-89.431894
100000,13.4491574,-89.6201852
112201.845,12.449353,-89.8034471
125892.541,11.4494741,-89.9841079
141253.754,10.4495271,-90.1645617
158489.319,9.44951482,-90.3472021
177827.941,8.44943665,-90.5344503
199526.231,7.44928843,-90.7287888
223872.114,6.44906222,-90.9327957
251188.643,5.448746,-91.1491754
281838.293,4.44832293,-91.3807968
316227.766,3.44777048,-91.6307293
354813.389,2.4470592,-91.9022851
398107.171,1.44615123,-92.1990606
446683.592,0.444998209,-92.5249844
501187.234,-0.556461269,-92.8843681
562341.325,-1.55830499,-93.2819619
630957.344,-2.56063113,-93.7230149
707945.784,-3.56356357,-94.2133423
794328.235,-4.56725862,-94.7593976
891250.938,-5.57191311,-95.368352
1000000,-6.57777511,-96.0481798
1122018.45,-7.585157,-96.8077519
1258925.41,-8.59445225,-97.6569346
1412537.54,-9.60615648,-98.6066946
1584893.19,-10.6208937,-99.6692063
1778279.41,-11.6394497,-100.85796
1995262.31,-12.6628139,-102.187863
2238721.14,-13.6922321,-103.675329
2511886.43,-14.7292717,-105.338334
2818382.93,-15.7759047,-107.196429
3162277.66,-16.8346092,-109.270668
3548133.89,-17.9084962,-111.583418
3981071.71,-19.0014634,-114.157978
4466835.92,-20.1183832,-117.017923
5011872.34,-21.2653259,-120.186042
5623413.25,-22.449825,-123.682692
6309573.44,-23.6811848,-127.523285
7079457.84,-24.9708338,-131.714441
7943282.35,-26.3327039,-136.248028
8912509.38,-27.7835633,-141.091657
10000000,-29.3430545,-146.173418
11220184.5,-31.0327905,-151.35786
12589254.1,-32.8730351,-156.411094
14125375.4,-34.8740835,-160.959344
15848931.9,-37.0178353,-164.46797
17782794.1,-39.2268479,-166.325835
19952623.1,-41.3367671,-166.195679
22387211.4,-43.1343247,-164.635026
25118864.3,-44.5076412,-163.264431
28183829.3,-45.5549076,-163.737643
31622776.6,-46.4829939,-166.680873
35481338.9,-47.4567569,-171.814956
39810717.1,-48.5573245,-178.555734
44668359.2,-49.806351,-186.361197
50118723.4,-51.1945487,-194.820722
56234132.5,-52.6987388,-203.643013
63095734.4,-54.2901243,-212.623959
70794578.4,-55.9380311,-221.618969
79432823.5,-57.6116805,-230.523534
89125093.8,-59.28124,-239.260478
100000000,-60.9186762,-247.771704
112201845,-62.4985749,-256.012792
125892541,-63.9989198,-263.949328
141253754,-65.401756,-271.554346
158489319,-66.6936501,-278.806513
177827941,-67.8658908,-285.688929
199526231,-68.9144063,-292.188476
223872114,-69.8394126,-298.295645
251188643,-70.6448364,-304.004716
281838293,-71.3375763,-309.314117
316227766,-71.9266801,-314.226725
354813389,-72.4225207,-318.749957
398107171,-72.8360444,-322.895563
446683592,-73.1781451,-326.679107
501187234,-73.4591929,-330.119235
562341325,-73.688719,-333.236824
630957344,-73.8752409,-336.054126
707945784,-74.0261991,-338.593988
794328235,-74.147974,-340.879192
891250938,-74.2459563,-342.931937
1000000000,-74.3246458,-344.773467
1122018450,-74.3877626,-346.423817
1258925410,-74.4383583,-347.901667
1412537540,-74.478921,-349.224274
1584893190,-74.5114702,-350.407467
1778279410,-74.5376396,-351.465678
1995262310,-74.5587483,-352.412003
2238721140,-74.5758605,-353.258272
2511886430,-74.5898349,-354.015135
2818382930,-74.6013652,-354.692132
3162277660,-74.6110116,-355.297783
3548133890,-74.6192258,-355.839655
3981071710,-74.6263686,-356.324439
4466835920,-74.6327239,-356.758035
5011872340,-74.6385074,-357.145627
5623413250,-74.6438735,-357.49178
6309573440,-74.648921,-357.80054
7079457840,-74.6536999,-358.075535
7943282350,-74.6582191,-358.320077
8912509380,-74.6624567,-358.537249
10000000000,-74.6663715,-358.729969
11220184500,-74.6699146,-358.901021
12589254100,-74.6730382,-359.053062
14125375400,-74.6757018,-359.188611
15848931900,-74.6778743,-359.31003
17782794100,-74.6795321,-359.419501
19952623100,-74.6806554,-359.51902
22387211400,-74.6812221,-359.610403
25118864300,-74.6812011,-359.695304
28183829300,-74.6805455,-359.775238
31622776600,-74.6791852,-359.851626
35481338900,-74.6770198,-359.925833
39810717100,-74.6739105,-359.999234
44668359200,-74.6696716,-360.073274
50118723400,-74.6640616,-360.149556
56234132500,-74.6567728,-360.229947
63095734400,-74.6474215,-360.316712
70794578400,-74.6355377,-360.412678
79432823500,-74.6205559,-360.521455
89125093800,-74.601809,-360.647705
100000000000,-74.5785264,-360.797482
112201845000,-74.5498422,-360.978666
125892541000,-74.5148194,-361.201481
141253754000,-74.4724977,-361.479108
158489319000,-74.4219777,-361.82836
177827941000,-74.3625532,-362.270351
199526231000,-74.2939034,-362.831053
223872114000,-74.2163527,-363.541563
251188643000,-74.1311945,-364.437836
281838293000,-74.0410598,-365.559627
316227766000,-73.950288,-366.948371
354813389000,-73.8652316,-368.643853
398107171000,-73.794411,-370.679714
446683592000,-73.7484308,-373.07808
501187234000,-73.7395891,-375.843921
562341325000,-73.7811472,-378.959895
630957344000,-73.8862751,-382.382491
707945784000,-74.0667236,-386.040227
794328235000,-74.3312901,-389.834523
891250938000,-74.6841526,-393.643956
1000000000000,-75.1231779,-397.332897
